"stocks","events","dt1s","dt2s","dps","qs","gs"
"NWS","1107100000","23.9333333333333","0","0.18","94900","1"
"NWS","1107103000","27.0833333333333","0","0.189999999999998","90100","0"
"NWS","1108093000","11.8833333333333","0","0.169999999999998","102100","1"
"NWS","1108103000","25.4833333333333","2.6413886737984","0.170000000000002","72600","1"
"NWS","1109093000","24.4","0","0.399999999999999","690800","1"
"NWS","1109100000","20.1666666666667","0","0.240000000000002","520500","0"
"NWS","1110093000","6.35","0","0.210000000000001","248600","0"
"NWS","1114093000","23.2","4.77751857051099","0.270000000000003","250500","0"
"NWS","1117093000","13.6333333333333","0","0.16","143900","1"
"NWS","1127100000","15.1","0","0.25","377000","0"
"SPWR","1108093000","4.15","0","2.08000000000001","127187","0"
"SPWR","1113093000","12.3833333333333","0","0.880000000000003","176704","1"
"SPWR","1113103000","17.3333333333333","1.96217002025023","0.909999999999997","148248","1"
"SPWR","1115093000","27.95","93.9303379770857","2.07","136851","1"
"SPWR","1115140000","7.31666666666667","10.0460164204763","1.0099","251881","0"
"SPWR","1115150000","18.6333333333333","0","20","66449","0"
"SPWR","1116093000","15.05","0","1.5199","174891","0"
"SPWR","1116133000","26.3166666666667","14.0608598106783","1.05","140483","1"
"SPWR","1122140000","26.4333333333333","17.5171880138608","0.880000000000003","92815","1"
"SPWR","1124130000","24","7.98152451789823","1.07","3846","1"
"CVLT","1101093000","17.7","0","0.73","129393","0"
"CVLT","1102093000","27.95","0","1.07","13157","1"
"CVLT","1107093000","6.81666666666667","22.8433672587829","0.690000000000001","65568","0"
"CVLT","1121153000","29","0","1.3","7705","1"
"CVLT","1130093000","3.76666666666667","0","0.95","6046","0"
"CVLT","1130130000","23.6833333333333","5.31184953716668","1.3","85616","1"
"CVLT","1130133000","14.5333333333333","0","0.84","47964","0"
"CVLT","1130140000","10.4833333333333","0","0.760000000000002","44569","1"
"CVLT","1130143000","23.5666666666667","6.98906332492375","0.7","17210","1"
"CVLT","1130153000","26.2333333333333","0","1.09","40041","0"
"AZPN","1101113000","29.25","11.088150600744","0.31","65078","0"
"AZPN","1103153000","23.55","0","0.34","393005","1"
"AZPN","1106093000","24.5333333333333","0","0.299999999999999","79636","1"
"AZPN","1108093000","16.5833333333333","1.84807094127523","0.83","530924","1"
"AZPN","1108100000","12.2","0","0.25","324933","0"
"AZPN","1108110000","15.6333333333333","8.26244965755869","0.24","84446","0"
"AZPN","1109140000","18.25","8.33542128434954","0.219999999999999","56739","0"
"AZPN","1109150000","3.11666666666667","0.595130293198409","0.232100000000001","91429","0"
"AZPN","1113093000","28.3833333333333","0","0.289999999999999","85215","1"
"AZPN","1129093000","5.66666666666667","16.6878106861422","0.25","83047","1"
"CDNS","1102093000","1","13.0045388150847","0.210000000000001","145927","1"
"CDNS","1103153000","20.75","0","0.209999999999997","1224704","0"
"CDNS","1108093000","22.4166666666667","0","0.199999999999999","177025","1"
"CDNS","1113093000","25.4666666666667","0","0.48","356403","1"
"CDNS","1113103000","2.63333333333333","1.77725594913125","0.549999999999997","134274","0"
"CDNS","1116093000","16.1166666666667","0","0.279999999999998","214967","0"
"CDNS","1121093000","18.7666666666667","9.52023908707504","0.190000000000001","224911","1"
