"ts_YEAR","ts_SALARY_0","ts_SALARY_1","ts_BONUS_0","ts_BONUS_1","ts_SALE","ts_ROA"
1992,213.356797975940,387.826233006180,118.984663929731,249.357977099237,2914.73749924887,0.071249561048537
1993,212.812494376607,392.413130471618,114.926682197943,296.571614233267,2905.24117849462,0.0684762917171001
1994,218.114623649801,410.267511679644,128.163108584423,342.619487208009,2921.22304947329,0.072327754037997
1995,225.396730936702,427.588107465135,138.854683510281,373.950706043205,3157.47541340782,0.0667721672021854
1996,231.08712892562,440.314929365079,155.909862937063,460.205595502646,3154.916956462,0.0677492489733725
1997,239.116892850195,453.212813059505,172.881915977626,489.406949815692,3425.27176784229,0.0640433625994409
1998,248.054281135740,473.147065318818,174.035221903565,478.998290046656,3597.14471712926,0.0514743677738514
1999,261.604301441631,493.997231231231,211.901290154712,583.680781326781,4016.38224108241,0.062736827364971
2000,276.916655743786,523.586732788798,244.451727216520,637.765848891482,4844.74122171081,0.0516741448902316
2001,291.193261452991,556.423213745271,219.239935665446,576.17813556116,5011.99514830136,-0.0116956371499202
2002,303.724494081033,572.713231558055,230.840400093952,638.109090969236,4674.75030481886,-0.0174402170006743
2003,312.182409790690,592.310296247961,260.713903911701,750.553500675367,4783.88942378049,0.0520039331367676
2004,337.331330789343,618.0829448709,334.227643824701,897.743692254013,5315.05238172142,0.0526184680052975
2005,357.585690059347,660.133053891198,390.320567173591,1014.15657755572,6003.86141056781,0.0588693433852913
2006,355.27989180685,659.711122242991,150.383800471984,455.151349906542,6140.21917132931,0.0766702076055527
2007,354.571919875999,619.751859215743,98.244312507452,283.736950301637,6124.50393646781,0.075962782842347
2008,371.360968011104,649.150747309833,78.4952409623689,234.200089053803,6324.42092424376,0.00563549333807558
2009,385.553967627643,673.569055925433,83.9691174574523,194.889376165113,5792.40194144981,0.0330402832388382
2010,403.413234346318,703.827572022711,97.0106973052295,245.900920511001,6682.3846993407,0.0678322157517267
2011,417.637787218266,733.887047726059,90.2523035888842,231.436428080885,7482.0548580045,0.0612756990907383
2012,438.829719871245,766.790123555254,94.4414037513909,248.429924365942,8012.55021931992,0.0563764881167645
